,Должность декларанта,Наименование государственного/ муниципального органа,ФИО декларанта
0,Депутат,Жогорку Кенеш Кыргызской Республики,Абдылдаев Мыктыбек Юсупович
1,Депутат,Жогорку Кенеш Кыргызской Республики,Абжалиев Алиярбек Токобекович
2,Депутат,Жогорку Кенеш Кыргызской Республики,Айнакулов Мухтарбек Айнакулович
3,Депутат,Жогорку Кенеш Кыргызской Республики,Айдаров Салайдин Абдираевич
4,Депутат,Жогорку Кенеш Кыргызской Республики,Акматов Алмасбек Жумабекович
5,Депутат,Жогорку Кенеш Кыргызской Республики,Акаев Жанарбек Кубанычович
6,Заместитель Торага,Жогорку Кенеш Кыргызской Республики,Алимбеков Нурбек Каарыевич
7,Депутат,Жогорку Кенеш Кыргызской Республики,Алтыбаева Айнуру Тойчиевна
8,Депутат,Жогорку Кенеш Кыргызской Республики,Алтынбеков Айбек Алтынбекович
9,Депутат,Жогорку Кенеш Кыргызской Республики,Аманкулов Марат Аскерович
10,Депутат,Жогорку Кенеш Кыргызской Республики,Арапбаев Азамат Абдуллажанович
11,Депутат,Жогорку Кенеш Кыргызской Республики,Артыкбаев Осмонбек Мамбетжанович
12,Депутат,Жогорку Кенеш Кыргызской Республики,Асылбек уулу Дамирбек
13,Депутат,Жогорку Кенеш Кыргызской Республики,Асылбаева Гюльшат Кадыровна
14,Депутат,Жогорку Кенеш Кыргызской Республики,Артыков Анвар Артыкович
15,Депутат,Жогорку Кенеш Кыргызской Республики,Аттокуров Данияр Бексултанович
16,Депутат,Жогорку Кенеш Кыргызской Республики,Баатырбеков Алмазбек Баатырбекович
17,Депутат,Жогорку Кенеш Кыргызской Республики,Бакиров Мирлан Исакбекович
18,Депутат,Жогорку Кенеш Кыргызской Республики,Байбакпаев Экмат Джурукпаевич
19,Депутат,Жогорку Кенеш Кыргызской Республики,Баймуратов Калдарбек Шакирович
20,Депутат,Жогорку Кенеш Кыргызской Республики,Бабанов Омурбек Токтогулович
21,Депутат,Жогорку Кенеш Кыргызской Республики,Бакчиев Джаныбек Абдукапарович
22,Депутат,Жогорку Кенеш Кыргызской Республики,Баяхунов Нурмухаммат  Баяхунович
23,Депутат,Жогорку Кенеш Кыргызской Республики,Бекешев Дастан Далабайевич
24,Депутат,Жогорку Кенеш Кыргызской Республики,Бокоев Кенжебек Сатымкулович
25,Депутат,Жогорку Кенеш Кыргызской Республики,Джумабеков Дастанбек Артисбекович
26,Депутат,Жогорку Кенеш Кыргызской Республики,Джакупова Чолпон Идиновна
27,Депутат,Жогорку Кенеш Кыргызской Республики,Жамалдинов Зиядин Исламович
28,Депутат,Жогорку Кенеш Кыргызской Республики,Джураев Сайдолимжон Маруфович
29,Депутат,Жогорку Кенеш Кыргызской Республики,Жамангулов Акылбек Жекшенович
30,Депутат,Жогорку Кенеш Кыргызской Республики,Жапаров Акылбек Усенбекович
31,депутат,Жогорку Кенеш Кыргызской Республики,Жеенчороев Мирлан Канатбекович
32,Депутат,Жогорку Кенеш Кыргызской Республики,Жумалиев Кубанычбек Мырзабекович
33,Депутат,Жогорку Кенеш Кыргызской Республики,Жетигенов Бакытбек Женишбекович
34,Депутат,Жогорку Кенеш Кыргызской Республики,Жолдошбаев Камчыбек
35,Депутат,Жогорку Кенеш Кыргызской Республики,Жунус уулу Адыл
36,Депутат,Жогорку Кенеш Кыргызской Республики,Жунус уулу Алтынбек
37,Депутат,Жогорку Кенеш Кыргызской Республики,Жутанов Алмаз Токтоназарович
38,Депутат,Жогорку Кенеш Кыргызской Республики,Жылкыбаев Узарбек Казиевич
39,Депутат,Жогорку Кенеш Кыргызской Республики,Жээнбеков Асылбек Шарипович
40,Депутат,Жогорку Кенеш Кыргызской Республики,Зулпукаров Торобай Закирович
41,Депутат,Жогорку Кенеш Кыргызской Республики,Зулушев Курманкул Токторалыевич
42,Депутат,Жогорку Кенеш Кыргызской Республики,Ибраимжанов Болотбек Сапарбаевич
43,Депутат,Жогорку Кенеш Кыргызской Республики,Икрамов Тазабек Икрамович
44,Депутат,Жогорку Кенеш Кыргызской Республики,Иманалиев Каныбек Капашович
45,Депутат,Жогорку Кенеш Кыргызской Республики,Иминов Фархат Ажмуханбетович
46,Депутат,Жогорку Кенеш Кыргызской Республики,Исаев Канатбек Кедейканович
47,Депутат,Жогорку Кенеш Кыргызской Республики,Исаев Тилектеш Каримович
48,Депутат,Жогорку Кенеш Кыргызской Республики,Исаков Музаффар Ахматходжаевич
49,Депутат,Жогорку Кенеш Кыргызской Республики,Исаева Динара Шертаевна
50,Депутат,Жогорку Кенеш Кыргызской Республики,Исмаилова Аида Жекшенбаевна
51,Депутат,Жогорку Кенеш Кыргызской Республики,Кадыркулов Искендер Анарбекович
52,Депутат,Жогорку Кенеш Кыргызской Республики,Казакбаев Руслан Айтбаевич
53,Депутат,Жогорку Кенеш Кыргызской Республики,Калмаматов Жыргалбек Айтиевич
54,Депутат,Жогорку Кенеш Кыргызской Республики,Карамушкина Ирина Юрьевна
55,Депутат,Жогорку Кенеш Кыргызской Республики,Каримов Нодирбек Тохтосинович
56,Депутат,Жогорку Кенеш Кыргызской Республики,Конушбаев Тынчтыкбек Кадырбекович
57,Депутат,Жогорку Кенеш Кыргызской Республики,Кодуранова Асель Союзбековна
58,Депутат,Жогорку Кенеш Кыргызской Республики,Кулбараков Абтандил Илдузович
59,Депутат,Жогорку Кенеш Кыргызской Республики,Кыдыралиев Умбеталы Токторалиевич
60,Депутат,Жогорку Кенеш Кыргызской Республики,Мавлянова Махабат Эргешовна
61,Депутат,Жогорку Кенеш Кыргызской Республики,Мадеминов Мурадыл Ганыевич
62,Депутат,Жогорку Кенеш Кыргызской Республики,Макеев Нурланбек Кадыкеевич
63,Депутат,Жогорку Кенеш Кыргызской Республики,Маматов Абдимуктар
64,Депутат,Жогорку Кенеш Кыргызской Республики,Масабиров Талайбек Айтмаматович
65,Депутат,Жогорку Кенеш Кыргызской Республики,Маннанов Ильхом Абдукахарович
66,Депутат,Жогорку Кенеш Кыргызской Республики,Мамашова Айсулуу Турусбековна
67,Депутат,Жогорку Кенеш Кыргызской Республики,Мамытов Талант Турдумаматович
68,Депутат,Жогорку Кенеш Кыргызской Республики,Масалиев Исхак Абсаматович
69,Депутат,Жогорку Кенеш Кыргызской Республики,Матраимов Искендер Исмаилович
70,Депутат,Жогорку Кенеш Кыргызской Республики,Молдобекова Гулкан Сакиновна
71,Депутат,Жогорку Кенеш Кыргызской Республики,Мусабекова Жылдыз Аманбековна
72,Депутат,Жогорку Кенеш Кыргызской Республики,Никитенко Наталья Владимировна
73,Депутат,Жогорку Кенеш Кыргызской Республики,Назаров Айтмамат Кошоевич
74,Депутат,Жогорку Кенеш Кыргызской Республики,Нурбаев Абдывахап Мамадрасулович
75,Депутат,Жогорку Кенеш Кыргызской Республики,Нурматов Кубанычбек Советович
76,Депутат,Жогорку Кенеш Кыргызской Республики,Нышанов Сайдулла Канболотович
77,Заместитель Торага,Жогорку Кенеш Кыргызской Республики,Омурбекова Алтынай Сейтбековна
78,Депутат,Жогорку Кенеш Кыргызской Республики,Омуркулов Иса Шейшенкулович
79,Депутат,Жогорку Кенеш Кыргызской Республики,Ормонов Улугбек Зулпукарович
80,Депутат,Жогорку Кенеш Кыргызской Республики,Орозова Карамат Бабашевна
81,Депутат,Жогорку Кенеш Кыргызской Республики,Пирматов Исхак Айтбаевич
82,Депутат,Жогорку Кенеш Кыргызской Республики,Примов Улан Бердибаевич
83,Депутат,Жогорку Кенеш Кыргызской Республики,Райымкулов Бактыбек Кемелбекович
84,Депутат,Жогорку Кенеш Кыргызской Республики,Рыспаев Кожобек Джайчыбекович
85,Депутат,Жогорку Кенеш Кыргызской Республики,Сабиров Максат Эсенович
86,Депутат,Жогорку Кенеш Кыргызской Республики,Салянова Аида Женишбековна
87,Депутат,Жогорку Кенеш Кыргызской Республики,Самаев Урматбек Обозбекович
88,Депутат,Жогорку Кенеш Кыргызской Республики,Самигуллина Альфия Эльдаровна
89,Депутат,Жогорку Кенеш Кыргызской Республики,Сарсейитов Исланбек Зайырбекович
90,Депутат,Жогорку Кенеш Кыргызской Республики,Срокова Евгения Григорьевна
91,Депутат,Жогорку Кенеш Кыргызской Республики,Субанбеков Бакирдин Жамалович
92,Депутат,Жогорку Кенеш Кыргызской Республики,Сулайманов Алтынбек Турдубаевич
93,Депутат,Жогорку Кенеш Кыргызской Республики,Сулейманов Бахадыр Искакович
94,Депутат,Жогорку Кенеш Кыргызской Республики,Султанов Абдыкапар Маданбекович
95,Депутат,Жогорку Кенеш Кыргызской Республики,Сурабалдиева Эльвира Жыргалбековна
96,Депутат,Жогорку Кенеш Кыргызской Республики,Токторов Алмазбек Сатиевич
97,Депутат,Жогорку Кенеш Кыргызской Республики,Текебаев Омурбек Чиркешович
98,Депутат,Жогорку Кенеш Кыргызской Республики,Тиллаев Таабалды Гапырович
99,Депутат,Жогорку Кенеш Кыргызской Республики,Сыдыков Бактыбек Усенович
100,Депутат,Жогорку Кенеш Кыргызской Республики,Токтошев Эмиль Токтакунович
101,Депутат,Жогорку Кенеш Кыргызской Республики,Торобаев Бакыт Эргешевич
102,Депутат,Жогорку Кенеш Кыргызской Республики,Тулендыбаев Пархат Розымович
103,Депутат,Жогорку Кенеш Кыргызской Республики,Турсунбаев Азизбек Атакозуевич
104,Депутат,Жогорку Кенеш Кыргызской Республики,Турускулов Жыргалбек Куручбекович
105,Депутат,Жогорку Кенеш Кыргызской Республики,Туманбаева Рада Мураталыевна
106,Депутат,Жогорку Кенеш Кыргызской Республики,Чолпонбаев Улан Сапарбекович
107,Депутат,Жогорку Кенеш Кыргызской Республики,Узакбаев Абылкайыр Осмонбекович
108,Депутат,Жогорку Кенеш Кыргызской Республики,Чудинов Игорь Витальевич
109,Депутат,Жогорку Кенеш Кыргызской Республики,Шадиев Аскарбек Алимбаевич
110,Депутат,Жогорку Кенеш Кыргызской Республики,Шайназаров Тынчтык Урайимович
111,Депутат,Жогорку Кенеш Кыргызской Республики,Шер-Нияз Садык
112,Депутат,Жогорку Кенеш Кыргызской Республики,Шыкмаматов Алмамбет Насырканович
113,Депутат,Жогорку Кенеш Кыргызской Республики,Эгембердиев Максатбек Бакирович
114,Депутат,Жогорку Кенеш Кыргызской Республики,Эргешов Алмазбек Манасбекович
115,Депутат,Жогорку Кенеш Кыргызской Республики,Юсуров Абдумажит Лелезович
116,экс-депутат,Жогорку Кенеш Кыргызской Республики,Есенбаева Бакыт Усенбековна
117,Депутат,Жогорку Кенеш Кыргызской Республики,Момбеков Рыскелди Чыныбекович
