№	Область/Город	Административный центр	Площадь, км²	Население, чел.	Плотность, чел./км²
1	Астана — столица, город республиканского значения		682	1 006 570	1 475,91
2	Алма-Ата — город республиканского значения		710	1 772 779	2 821,21
3	Акмолинская область	Кокшетау	146 219	737 443	5,04
4	Актюбинская область	Актобе	300 629	851 339	2,83
5	Алматинская область	Талдыкорган	223 911	2 003 063	8,70
6	Атырауская область	Атырау	118 631	613 880	5,17
7	Восточно-Казахстанская область	Усть-Каменогорск	283 226	1 386 208	4,89
8	Жамбылская область	Тараз	144 264	1 116 384	7,74
9	Западно-Казахстанская область	Уральск	151 339	643 874	4,25
10	Карагандинская область	Караганда	427 982	1 381 501	3,23
11	Костанайская область	Костанай	196 001	876 833	4,47
12	Кызылординская область	Кызылорда	226 019	777 730	3,44
13	Мангистауская область	Актау	165 642	650 509	3,93
14	Павлодарская область	Павлодар	124 755	755 847	6,06
15	Северо-Казахстанская область	Петропавловск	97 993	560 553	5,72
16	Южно-Казахстанская область	Шымкент	117 249	2 899 853	24,73